provision_id,provision_uri,legislation_id,legislation_title,section_type,schedule_number,schedule_title,part_number,part_title,chapter_number,chapter_title,class_block,sub_block,provision_number,provision_level,parent_provision_id,text,status,restrict_start_date,restrict_end_date,restrict_extent
article-1,http://www.legislation.gov.uk/id/uksi/2015/596/article/1,uksi/2015/596,GPDO 2015,body,,,,,,,,,1,P1,,,valid,,,
article-1-1,http://www.legislation.gov.uk/id/uksi/2015/596/article/1/1,uksi/2015/596,GPDO 2015,body,,,,,,,,,1,P2,article-1,This Order may be cited as the Town and Country Planning (General Permitted Development) (England) Order 2015 and comes into force on 15th April 2015.,valid,,,
article-1-2,http://www.legislation.gov.uk/id/uksi/2015/596/article/1/2,uksi/2015/596,GPDO 2015,body,,,,,,,,,2,P2,article-1,"This Order applies to all land in England, but where land is the subject of a special development order, whether made before or after the commencement of this Order, this Order applies to that land only to such extent and subject to such modifications as may be specified in the special development order.",valid,,,
article-1-3,http://www.legislation.gov.uk/id/uksi/2015/596/article/1/3,uksi/2015/596,GPDO 2015,body,,,,,,,,,3,P2,article-1,Nothing in this Order applies to any permission which is deemed to be granted under section 222 of the Act (planning permission not needed for advertisements complying with regulations).,valid,,,
article-2,http://www.legislation.gov.uk/id/uksi/2015/596/article/2,uksi/2015/596,GPDO 2015,body,,,,,,,,,2,P1,,,valid,,,
article-2-1,http://www.legislation.gov.uk/id/uksi/2015/596/article/2/1,uksi/2015/596,GPDO 2015,body,,,,,,,,,1,P2,article-2,"In this Order— “ the 1960 Act ” means the Caravan Sites and Control of Development Act 1960 ; “ the Act ” means the Town and Country Planning Act 1990; “ adjoining owner or occupier ” means any owner or occupier of any premises or land adjoining the site; “ aerodrome ” means an aerodrome as defined in paragraph 1 of Schedule 1 to the Air Navigation Order 2016 which is— licensed under that Order, a Government aerodrome, one at which the manufacture, repair or maintenance of aircraft is carried out by a person carrying on business as a manufacturer or repairer of aircraft, one used by aircraft engaged in the public transport of passengers or cargo or in aerial work, or one identified to the Civil Aviation Authority before 1st March 1986 for inclusion in the UK Aerodrome Index, and, for the purposes of this definition, the terms  “ aerial work ”,  “ Government aerodrome ” and  “ public transport ” have the meanings given in paragraph 1 of Schedule 1 to that Order ; “ aqueduct ” does not include an underground conduit; “ area of outstanding natural beauty ” means an area designated as such by an order made by Natural England under section 82 of the Countryside and Rights of Way Act 2000 (designation of areas) as confirmed by the Secretary of State; “building”— includes any structure or erection and, except in Class F of Part 2, Classes P and PA of Part 3, Class B of Part 11, Classes A to I of Part 14, Classes A, B and C of Part 16 , Class T of Part 19 and Class ZA of Part 20 , of Schedule 2, includes any part of a building; and does not include plant or machinery and, in Schedule 2, except in Class F of Part 2 and Class C of Part 11, does not include any gate, fence, wall or other means of enclosure; “ caravan ” has the same meaning as for the purposes of Part 1 of the 1960 Act (caravan sites) ; “ caravan site ” means land on which a caravan is stationed for the purpose of human habitation and land which is used in conjunction with land on which a caravan is so stationed; “ classified road ” means a highway or proposed highway which— is a classified road or a principal road by virtue of section 12(1) of the Highways Act 1980 (general provision as to principal and classified roads) ; or is classified by the Secretary of State for the purposes of any enactment by virtue of section 12(3) of that Act; “ cubic content ” means the cubic content of a structure or building measured externally; “dwellinghouse”, except in Part 3 (changes of use), Class B (demolition of buildings) of Part 11 (heritage and demolition), Part 12A (development by local authorities and health service bodies) and Part 20 (construction of new dwellinghouses) of Schedule 2 to this Order, does not include a building containing one or more flats, or a flat contained within such a building; “ electronic communication ” has the meaning given in section 15(1) of the Electronic Communications Act 2000 ; “ erection ”, in relation to buildings, includes extension, alteration, or re-erection; “ existing ”, in relation to any building or any plant or machinery or any use, means (except in the definition of  “original”) existing immediately before the carrying out, in relation to that building, plant, machinery or use, of development described in this Order; “flat”, except in Part 20 (construction of new dwellinghouses) of Schedule 2 to this Order or in the expression  “flat roof”, means a separate and self-contained set of premises constructed or adapted for use for the purpose of a dwelling and forming part of a building from some other part of which it is divided horizontally; “Flood Zone 1”,  “Flood Zone 2” and  “Flood Zone 3” have the meaning given in Schedule 4 to the Procedure Order; “ floor space ” means the total floor space in a building or buildings; “ industrial process ” means a process for or incidental to any of the following purposes— the making of any article or part of any article (including a ship or vessel, or a film, video or sound recording); the altering, repairing, maintaining, ornamenting, finishing, cleaning, washing, packing, canning, adapting for sale, breaking up or demolition of any article; or the getting, dressing or treatment of minerals in the course of any trade or business other than agriculture, and other than a process carried out on land used as a mine or adjacent to and occupied together with a mine; “ land drainage ” has the same meaning as in section 116 of the Land Drainage Act 1976 (interpretation) ; “ listed building ” has the same meaning as in section 1 of the Planning (Listed Buildings and Conservation Areas) Act 1990 (listing of buildings of special architectural or historic interest) ; “ local advertisement ” means publication of the notice in at least one newspaper circulating in the locality in which— in the case of a direction, the area or, as the case may be, the whole or relevant part of the conservation area to which the direction relates is situated; and in any other case, the land to which the proposed development relates is situated; “ machinery ” includes any structure or erection in the nature of machinery; “ microwave ” means that part of the radio spectrum above 1,000 MHz; “ microwave antenna ” means a satellite antenna or a terrestrial microwave antenna; “military explosives storage area” means any area, including an aerodrome, depot, mooring or port, at which the storage of military explosives may be undertaken and for which the associated explosives safeguarding zone is identified on a safeguarding map, issued by the Secretary of State, provided to the local planning authority for the purposes of a direction made by the Secretary of State in exercise of powers conferred by article 31(1) of the Procedure Order (or any previous powers to the like effect); “ mine ” means any site on which mining operations are carried out; “ mining operations ” means the winning and working of minerals in, on or under land, whether by surface or underground working; “network” and  “operator”, for the purposes of Part 3 and 4 of Schedule 2, have the same meaning as in Part 1 of the Railways Act 1993 (the provision of railway services) ; “ notifiable pipe-line ” means a major accident hazard pipeline (as described in regulation 18 of the Pipelines Safety Regulations 1996 ) but does not include a pipeline the construction of which has been authorised under section 1 of the Pipe-lines Act 1962 ; “ operational Crown building ” means a building which is operational Crown land; “ operational Crown land ” means— Crown land which is used for operational purposes; and Crown land which is held for those purposes, but does not include— land which, in respect of its nature and situation, is comparable rather with land in general than with land which is used, or held, for operational purposes; Crown land— belonging to Her Majesty in right of the Crown and forming part of the Crown Estate; in which there is an interest belonging to Her Majesty in right of Her private estates; in which there is an interest belonging to Her Majesty in right of the Duchy of Lancaster; or belonging to the Duchy of Cornwall; “ operational purposes ” means the purposes of carrying on the functions of the Crown or of either House of Parliament; “ original ” means— in relation to a building, other than a building which is Crown land, existing on 1st July 1948, as existing on that date; in relation to a building, other than a building which is Crown land, built on or after 1st July 1948, as so built; in relation to a building which is Crown land on 7th June 2006, as existing on that date; and in relation to a building built on or after 7th June 2006 which is Crown land on the date of its completion, as so built; “ plant ” includes any structure or erection in the nature of plant; “ private way ” means a highway not maintainable at the public expense and any other way other than a highway; “ Procedure Order ” means the Town and Country Planning (Development Management Procedure) (England) Order 2015 ; “ proposed highway ” has the same meaning as in section 329 of the Highways Act 1980 (further provision as to interpretation) ; “public holiday” means Christmas Day, Good Friday or a day which under the Banking and Financial Dealings Act 1971 is a bank holiday in England ; “ public service vehicle ” means— a public service vehicle within the meaning of section 1 of the Public Passenger Vehicles Act 1981 (definition of public service vehicles) , or a tramcar or trolley vehicle within the meaning of section 192(1) of the Road Traffic Act 1988 (general interpretation) ; “railway undertakers” has the same meaning as in section 329 of the Highways Act 1980 (further provision as to interpretation); “ safety hazard area ” means an area notified to the local planning authority— by the Health and Safety Executive for the purposes of paragraph (e) of the Table in Schedule 4 to the Procedure Order (or any previous powers to the like effect); or by the Office for Nuclear Regulation for the purposes of paragraph (f) of that Table; “ satellite antenna ” means apparatus designed for transmitting microwave radio energy to satellites or receiving it from them, and includes any mountings or brackets attached to such apparatus; “ scheduled monument ” has the same meaning as in section 1(11) of the Ancient Monuments and Archaeological Areas Act 1979 (schedule of monuments) ; “ site display ” means the posting of the notice by firmly attaching it to some object, sited and displayed in such a way as to be easily visible and legible by members of the public; “ site of archaeological interest ” means land which— is included in the schedule of monuments compiled by the Secretary of State under section 1 of the Ancient Monuments and Archaeological Areas Act 1979 (schedule of monuments); is within an area of land which is designated as an area of archaeological importance under section 33 of that Act (designation of areas of archaeological importance) , or is within a site registered in any record adopted by resolution by a county council and known as the County Sites and Monuments Record; “ site of special scientific interest ” means land to which section 28(1) of the Wildlife and Countryside Act 1981 (sites of special scientific interest, notification of additional land and enlargement of SSSI) applies; “ statutory undertaker ” includes, in addition to any person mentioned in section 262(1) of the Act (meaning of statutory undertakers) — a universal service provider (within the meaning of Part 3 of the Postal Services Act 2011 ) in connection with the provision of a universal postal service (within the meaning of that Part) ; the Civil Aviation Authority; a person who holds a licence under Chapter 1 of Part 1 of the Transport Act 2000 (air traffic services); the Environment Agency ; any water undertaker; any gas transporter; and any licence holder under section 6 of the Electricity Act 1989 ; “ terrestrial microwave antenna ” means apparatus designed for transmitting or receiving terrestrial microwave radio energy between two fixed points; “transport undertakers” includes, in addition to the meaning of transport undertaker in section 329 of the Highways Act 1980 (further provision as to interpretation), any person authorised to carry on— a road transport undertaking; or a tramway undertaking. “ trunk road ” means a highway or proposed highway which is a trunk road by virtue of section 10(1) or 19 of the Highways Act 1980 (general provision as to trunk roads, and certain special roads and other highways to become trunk roads) or any other enactment or any instrument made under any enactment; “ the Use Classes Order ” means the Town and Country Planning (Use Classes) Order 1987 ; and “ World Heritage Site ” means a property appearing on the World Heritage List kept under article 11(2) of the UNESCO Convention for the Protection of the World Cultural and Natural Heritage adopted at Paris on 16th November 1972 .",valid,,,
article-2-2,http://www.legislation.gov.uk/id/uksi/2015/596/article/2/2,uksi/2015/596,GPDO 2015,body,,,,,,,,,2,P2,article-2,"Unless the context otherwise requires, any reference in this Order to the height of a building or of plant or machinery is to be construed as a reference to its height when measured from ground level; and for the purposes of this paragraph  “ ground level ” means the level of the surface of the ground immediately adjacent to the building or plant or machinery in question or, where the level of the surface of the ground on which it is situated or is to be situated is not uniform, the level of the highest part of the surface of the ground adjacent to it.",valid,,,
article-2-3,http://www.legislation.gov.uk/id/uksi/2015/596/article/2/3,uksi/2015/596,GPDO 2015,body,,,,,,,,,3,P2,article-2,"The land referred to elsewhere in this Order as article 2(3) land is the land described in Part 1 of Schedule 1 to this Order (National Parks, areas of outstanding natural beauty and conservation areas etc).",valid,,,
article-2-4,http://www.legislation.gov.uk/id/uksi/2015/596/article/2/4,uksi/2015/596,GPDO 2015,body,,,,,,,,,4,P2,article-2,The land referred to elsewhere in this Order as article 2(4) land is the land described in Part 2 of Schedule 1 to this Order (National Parks and adjoining land and the Broads).,valid,,,
article-2-5,http://www.legislation.gov.uk/id/uksi/2015/596/article/2/5,uksi/2015/596,GPDO 2015,body,,,,,,,,,5,P2,article-2,. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,valid,,,
