source_provision_id,target_uri,target_legislation_id,target_provision_path,citation_text,is_internal,reference_type
c22500881,http://www.legislation.gov.uk/id/ukpga/1990/8,ukpga/1990/8,,1990 c. 8,False,citation
c22500881,http://www.legislation.gov.uk/id/ukpga/2013/27,ukpga/2013/27,,Growth and Infrastructure Act 2013 (c. 27),False,citation
c22500881,http://www.legislation.gov.uk/id/ukpga/2011/20,ukpga/2011/20,,Localism Act 2011 (c. 20),False,citation
c22500881,http://www.legislation.gov.uk/id/ukpga/1991/34,ukpga/1991/34,,Planning and Compensation Act 1991 (c. 34),False,citation
c22500881,http://www.legislation.gov.uk/id/ukpga/1999/29,ukpga/1999/29,,Greater London Authority Act 1999 (c. 29),False,citation
c22500891,http://www.legislation.gov.uk/id/ukpga/1994/21,ukpga/1994/21,,1994 c. 21,False,citation
c22500901,http://www.legislation.gov.uk/id/ukpga/1960/62,ukpga/1960/62,,1960 c. 62,False,citation
c22500901,http://www.legislation.gov.uk/id/ukpga/1962/38,ukpga/1962/38,,Town and Country Planning Act 1962 (c. 38),False,citation
c22500901,http://www.legislation.gov.uk/id/ukpga/1963/33,ukpga/1963/33,,Local Government Act 1963 (c. 33),False,citation
c22500901,http://www.legislation.gov.uk/id/ukpga/1971/23,ukpga/1971/23,,Courts Act 1971 (c. 23),False,citation
c22500901,http://www.legislation.gov.uk/id/ukpga/1972/70,ukpga/1972/70,,Local Government Act 1972 (c. 70),False,citation
c22500901,http://www.legislation.gov.uk/id/ukpga/1974/7,ukpga/1974/7,,Local Government Act 1974 (c. 7),False,citation
c22500901,http://www.legislation.gov.uk/id/ukpga/1974/22,ukpga/1974/22,,Statute Law (Repeals) Act 1974 (c. 22),False,citation
c22500901,http://www.legislation.gov.uk/id/ukpga/1976/26,ukpga/1976/26,,Greater London Council (General Powers) Act 1976 (c. 26),False,citation
c22500901,http://www.legislation.gov.uk/id/ukpga/1980/65,ukpga/1980/65,,"Local Government, Planning and Land Act 1980 (c. 65)",False,citation
c22500901,http://www.legislation.gov.uk/id/ukpga/1981/67,ukpga/1981/67,,Acquisition of Land Act 1981 (c. 67),False,citation
c22500901,http://www.legislation.gov.uk/id/ukpga/1982/30,ukpga/1982/30,,Local Government (Miscellaneous Provisions) Act 1982 (c. 30),False,citation
c22500901,http://www.legislation.gov.uk/id/ukpga/1982/48,ukpga/1982/48,,Criminal Justice Act 1982 (c. 48),False,citation
c22500901,http://www.legislation.gov.uk/id/ukpga/1990/11,ukpga/1990/11,,Planning (Consequential Provisions) Act 1990 (c. 11),False,citation
c22500901,http://www.legislation.gov.uk/id/ukpga/1993/50,ukpga/1993/50,,Statute Law (Repeals) Act 1993 (c. 50),False,citation
c22500901,http://www.legislation.gov.uk/id/ukpga/1994/33,ukpga/1994/33,,Criminal Justice and Public Order Act 1994 (c. 33),False,citation
c22500901,http://www.legislation.gov.uk/id/ukpga/1995/25,ukpga/1995/25,,Environment Act 1995 (c. 25),False,citation
c22500901,http://www.legislation.gov.uk/id/ukpga/2003/39,ukpga/2003/39,,Courts Act 2003 (c. 39),False,citation
c22500901,http://www.legislation.gov.uk/id/ukpga/2004/21,ukpga/2004/21,,Fire and Rescue Services Act 2004 (c. 21),False,citation
c22500901,http://www.legislation.gov.uk/id/ukpga/2013/14,ukpga/2013/14,,Mobile Homes Act 2013 (c. 14),False,citation
c22500901,http://www.legislation.gov.uk/id/uksi/1975/1636,uksi/1975/1636,,S.I. 1975/1636,False,citation
c22500921,http://www.legislation.gov.uk/id/ukpga/2000/37,ukpga/2000/37,,2000 c. 37,False,citation
c22500921,http://www.legislation.gov.uk/id/ukpga/2006/16,ukpga/2006/16,,Natural Environment and Rural Communities Act 2006 (c. 16),False,citation
c22500941,http://www.legislation.gov.uk/id/ukpga/1980/66,ukpga/1980/66,,1980 c. 66,False,citation
c22500951,http://www.legislation.gov.uk/id/ukpga/2000/7,ukpga/2000/7,,2000 c. 7,False,citation
c22500951,http://www.legislation.gov.uk/id/ukpga/2003/21,ukpga/2003/21,,Communications Act 2003 (c. 21),False,citation
c22500961,http://www.legislation.gov.uk/id/ukpga/1976/70,ukpga/1976/70,,1976 c. 70,False,citation
c22500971,http://www.legislation.gov.uk/id/ukpga/1990/9,ukpga/1990/9,,1990 c. 9,False,citation
c22500971,http://www.legislation.gov.uk/id/ukpga/2013/24,ukpga/2013/24,,Enterprise and Regulatory Reform Act 2013 (c. 24),False,citation
c22500991,http://www.legislation.gov.uk/id/ukpga/1993/43,ukpga/1993/43,,1993 c. 43,False,citation
c22500991,http://www.legislation.gov.uk/id/uksi/1998/1340,uksi/1998/1340,,S.I. 1998/1340,False,citation
c22501001,http://www.legislation.gov.uk/id/uksi/1996/825,uksi/1996/825,,S.I. 1996/825,False,citation
c22501011,http://www.legislation.gov.uk/id/ukpga/1962/58,ukpga/1962/58,,1962 c. 58,False,citation
c22501011,http://www.legislation.gov.uk/id/ukpga/1982/48,ukpga/1982/48,,Criminal Justice Act 1982 (c. 48),False,citation
