parent_type,parent_id,parent_label,relationship,child_type,child_id,child_label
schedule,,,has_provision,provision,article-1,1
provision,article-1,article-1,has_sub_provision,provision,article-1-1,1
provision,article-1,article-1,has_sub_provision,provision,article-1-2,2
provision,article-1,article-1,has_sub_provision,provision,article-1-3,3
schedule,,,has_provision,provision,article-2,2
provision,article-2,article-2,has_sub_provision,provision,article-2-1,1
provision,article-2,article-2,has_sub_provision,provision,article-2-2,2
provision,article-2,article-2,has_sub_provision,provision,article-2-3,3
provision,article-2,article-2,has_sub_provision,provision,article-2-4,4
provision,article-2,article-2,has_sub_provision,provision,article-2-5,5
provision,article-2,article-2,has_sub_provision,provision,article-2-6,6
provision,article-2,article-2,has_sub_provision,provision,article-2-7,7
provision,article-2-7,article-2-7,has_sub_provision,provision,article-2-7-a,a
provision,article-2-7,article-2-7,has_sub_provision,provision,article-2-7-b,b
provision,article-2-7,article-2-7,has_sub_provision,provision,article-2-7-c,c
provision,article-2,article-2,has_sub_provision,provision,article-2-8,8
provision,article-2,article-2,has_sub_provision,provision,article-2-9,9
provision,article-2,article-2,has_sub_provision,provision,article-2-10,10
provision,article-2,article-2,has_sub_provision,provision,article-2-11,11
provision,article-2,article-2,has_sub_provision,provision,article-2-12,12
schedule,,,has_provision,provision,article-3,3
provision,article-3,article-3,has_sub_provision,provision,article-3-1,1
provision,article-3,article-3,has_sub_provision,provision,article-3-2,2
provision,article-3,article-3,has_sub_provision,provision,article-3-3,3
provision,article-3,article-3,has_sub_provision,provision,article-3-4,4
provision,article-3,article-3,has_sub_provision,provision,article-3-5,5
provision,article-3-5,article-3-5,has_sub_provision,provision,article-3-5-a,a
provision,article-3-5,article-3-5,has_sub_provision,provision,article-3-5-b,b
provision,article-3,article-3,has_sub_provision,provision,article-3-6,6
provision,article-3,article-3,has_sub_provision,provision,article-3-7,7
provision,article-3,article-3,has_sub_provision,provision,article-3-8,8
provision,article-3,article-3,has_sub_provision,provision,article-3-9,9
provision,article-3,article-3,has_sub_provision,provision,article-3-9A,9A
provision,article-3-9A,article-3-9A,has_sub_provision,provision,article-3-9A-a,a
provision,article-3-9A,article-3-9A,has_sub_provision,provision,article-3-9A-b,b
provision,article-3,article-3,has_sub_provision,provision,article-3-9B,9B
provision,article-3,article-3,has_sub_provision,provision,article-3-10,10
provision,article-3-10,article-3-10,has_sub_provision,provision,article-3-10-a,a
provision,article-3-10,article-3-10,has_sub_provision,provision,article-3-10-b,b
provision,article-3-10,article-3-10,has_sub_provision,provision,article-3-10-c,c
provision,article-3,article-3,has_sub_provision,provision,article-3-11,11
provision,article-3-11,article-3-11,has_sub_provision,provision,article-3-11-a,a
provision,article-3-11,article-3-11,has_sub_provision,provision,article-3-11-b,b
provision,article-3,article-3,has_sub_provision,provision,article-3-12,12
provision,article-3-12,article-3-12,has_sub_provision,provision,article-3-12-a,a
provision,article-3-12,article-3-12,has_sub_provision,provision,article-3-12-b,b
provision,article-3-12,article-3-12,has_sub_provision,provision,article-3-12-c,c
provision,article-3-12-c,article-3-12-c,has_sub_provision,provision,article-3-12-c-i,i
provision,article-3-12-c,article-3-12-c,has_sub_provision,provision,article-3-12-c-ii,ii
provision,article-3-12-c,article-3-12-c,has_sub_provision,provision,article-3-12-c-iii,iii
provision,article-3-12,article-3-12,has_sub_provision,provision,article-3-12-d,d
provision,article-3-12,article-3-12,has_sub_provision,provision,article-3-12-e,e
provision,article-3,article-3,has_sub_provision,provision,article-3-13,13
provision,article-3-13,article-3-13,has_sub_provision,provision,article-3-13-a,a
provision,article-3-13,article-3-13,has_sub_provision,provision,article-3-13-b,b
provision,article-3-13,article-3-13,has_sub_provision,provision,article-3-13-c,c
schedule,,,has_provision,provision,article-4,4
provision,article-4,article-4,has_sub_provision,provision,article-4-1,1
provision,article-4-1,article-4-1,has_sub_provision,provision,article-4-1-a,a
provision,article-4-1,article-4-1,has_sub_provision,provision,article-4-1-b,b
provision,article-4,article-4,has_sub_provision,provision,article-4-2,2
provision,article-4-2,article-4-2,has_sub_provision,provision,article-4-2-a,a
provision,article-4-2,article-4-2,has_sub_provision,provision,article-4-2-b,b
provision,article-4-2,article-4-2,has_sub_provision,provision,article-4-2-c,c
provision,article-4-2,article-4-2,has_sub_provision,provision,article-4-2-d,d
provision,article-4-2,article-4-2,has_sub_provision,provision,article-4-2-e,e
provision,article-4-2,article-4-2,has_sub_provision,provision,article-4-2-f,f
provision,article-4,article-4,has_sub_provision,provision,article-4-3,3
provision,article-4-3,article-4-3,has_sub_provision,provision,article-4-3-a,a
provision,article-4-3,article-4-3,has_sub_provision,provision,article-4-3-b,b
provision,article-4-3,article-4-3,has_sub_provision,provision,article-4-3-c,c
provision,article-4-3,article-4-3,has_sub_provision,provision,article-4-3-d,d
provision,article-4-3,article-4-3,has_sub_provision,provision,article-4-3-e,e
provision,article-4-3,article-4-3,has_sub_provision,provision,article-4-3-f,f
provision,article-4-3,article-4-3,has_sub_provision,provision,article-4-3-g,g
provision,article-4,article-4,has_sub_provision,provision,article-4-4,4
provision,article-4,article-4,has_sub_provision,provision,article-4-5,5
schedule,,,has_provision,provision,article-5,5
provision,article-5,article-5,has_sub_provision,provision,article-5-1,1
provision,article-5,article-5,has_sub_provision,provision,article-5-2,2
provision,article-5-2,article-5-2,has_sub_provision,provision,article-5-2-a,a
provision,article-5-2-a,article-5-2-a,has_sub_provision,provision,article-5-2-a-i,i
provision,article-5-2-a,article-5-2-a,has_sub_provision,provision,article-5-2-a-ii,ii
provision,article-5-2-a,article-5-2-a,has_sub_provision,provision,article-5-2-a-iii,iii
provision,article-5-2-a,article-5-2-a,has_sub_provision,provision,article-5-2-a-iv,iv
provision,article-5-2-a,article-5-2-a,has_sub_provision,provision,article-5-2-a-v,v
provision,article-5-2,article-5-2,has_sub_provision,provision,article-5-2-aa,aa
provision,article-5-2,article-5-2,has_sub_provision,provision,article-5-2-b,b
provision,article-5-2,article-5-2,has_sub_provision,provision,article-5-2-c,c
provision,article-5-2,article-5-2,has_sub_provision,provision,article-5-2-d,d
provision,article-5,article-5,has_sub_provision,provision,article-5-3,3
provision,article-5,article-5,has_sub_provision,provision,article-5-4,4
